key,nbre_articles,inflation,disinflation,inflationary,deflation,prices,cost,wages,currency,money,devaluation,recession,stagflation,economy,market,increase,decrease,cpi,price level,wage growth,economic downturn,monetary policy,cost increase,cost reduction,market prices,inflation rate,interest rates,price stability,consumption basket,purchasing power,consumer price index,rise in prices,fall in prices,cost of living,inflation expectations,money supply growth,central bank policy,economic price adjustments
1950-01,36380,10,0,5,5,1005,1845,188,49,1219,22,20,0,308,677,935,67,23,10,0,0,1,2,0,4,0,6,0,0,16,0,1,0,15,0,0,0,0
1950-02,36159,0,0,0,0,860,1842,202,44,1246,8,5,0,237,639,788,56,26,3,0,1,1,1,0,3,0,3,0,0,4,0,1,0,18,0,0,0,0
1950-03,38051,0,0,0,0,930,1684,182,48,1227,11,1,0,259,663,818,61,20,4,0,0,0,1,1,8,0,5,1,0,11,0,0,0,5,0,0,0,0
1950-04,38568,1,0,1,1,952,1837,198,45,1182,8,7,0,246,639,785,48,16,4,0,0,0,1,1,6,0,6,0,0,12,0,1,0,12,0,0,0,0
1950-05,32115,3,0,3,0,752,1604,209,52,1022,4,11,0,208,604,616,42,20,6,0,1,1,1,1,1,0,6,0,0,7,1,4,0,11,0,0,0,0
1950-06,37905,5,0,4,2,878,1768,228,37,1135,6,9,0,217,671,851,46,21,7,0,0,0,0,0,7,0,2,0,0,12,1,0,0,18,0,0,0,0
1950-07,34343,13,0,11,2,949,1613,294,37,1048,1,12,0,247,687,928,62,29,8,0,0,0,1,0,5,0,2,0,0,5,0,1,0,12,0,0,0,0
1950-08,31759,8,0,4,0,884,1454,269,28,911,4,6,0,214,650,823,49,15,9,0,0,0,1,0,0,0,3,0,0,3,1,3,0,22,0,0,0,0
1950-09,30375,19,0,10,0,673,1366,234,25,836,4,5,0,148,572,796,37,21,6,0,0,0,0,0,4,0,9,0,0,9,1,0,0,39,0,0,0,0
1950-10,34429,15,0,9,1,928,1665,221,26,895,4,5,0,164,717,856,53,30,2,0,0,0,0,0,3,0,3,0,0,12,0,1,0,35,0,0,0,0
1950-11,32891,19,0,14,0,848,1577,162,35,893,2,6,0,163,589,776,43,27,3,0,0,0,1,0,2,0,2,1,0,5,1,4,0,35,0,0,0,0
1950-12,32441,16,0,11,0,934,1491,223,24,877,1,2,0,172,568,854,40,15,8,0,0,0,4,0,4,0,6,0,0,12,1,5,0,41,0,0,0,0
1951-01,33608,16,0,11,0,983,1619,272,34,890,1,3,0,189,611,978,39,18,7,0,0,0,1,0,8,0,5,1,0,14,2,0,0,56,0,0,0,0
1951-02,28968,11,0,7,2,772,1444,195,22,855,2,2,0,151,512,812,37,21,5,0,0,3,2,0,2,0,16,1,0,11,0,1,0,56,0,0,0,0
1951-03,33099,16,0,9,1,806,1629,208,28,1024,2,3,0,192,563,887,49,23,4,0,0,1,4,1,4,0,13,0,0,5,0,2,0,42,0,0,0,0
1951-04,39416,23,0,12,1,1022,1810,190,34,1037,1,3,0,192,659,894,46,14,7,0,0,0,4,0,7,0,10,2,0,4,0,2,0,37,0,0,0,0
1951-05,38571,27,0,16,1,903,1825,228,37,1055,5,15,0,192,760,971,58,14,6,0,0,2,2,0,10,0,4,0,0,15,1,3,0,58,0,0,0,0
1951-06,35905,35,0,23,3,830,1585,231,50,1038,1,9,0,186,671,885,57,19,8,0,0,0,2,0,6,0,4,0,0,13,1,3,0,45,0,0,0,0
1951-07,31138,30,0,15,0,832,1444,222,43,900,1,9,0,211,633,826,61,12,7,0,0,1,10,0,3,0,2,0,0,15,2,2,0,31,0,0,0,0
1951-08,34603,17,0,12,1,808,1542,159,39,1054,0,5,0,178,621,805,56,24,5,0,0,0,11,0,4,0,3,0,0,12,2,1,0,46,0,0,0,0
1951-09,36878,18,0,14,0,839,1603,186,30,1063,0,2,0,201,665,1023,70,20,4,0,0,0,15,0,7,0,0,0,0,9,2,2,0,40,0,0,0,0
1951-10,39352,16,0,10,1,875,1727,267,35,1114,1,2,0,184,695,965,51,33,5,0,0,0,7,0,2,0,2,0,0,9,2,2,0,39,0,0,0,0
1951-11,35733,10,0,8,3,786,1507,166,23,1049,1,2,0,168,601,803,50,19,5,0,0,0,7,0,3,0,4,0,0,5,0,0,0,29,0,0,0,0
1951-12,32351,15,0,12,3,767,1387,142,41,1039,2,5,0,127,502,722,47,12,3,0,0,0,8,0,4,0,7,0,0,4,0,1,0,28,0,0,0,0
1952-01,31648,20,0,13,1,847,1546,167,24,1036,0,1,0,181,584,896,64,18,2,0,0,1,9,1,6,0,4,1,0,10,0,0,0,19,0,0,0,0
1952-02,29764,9,0,7,0,651,1398,141,18,901,1,1,0,143,411,694,45,19,3,0,0,0,5,0,1,0,5,1,0,5,0,1,0,18,0,0,0,0
1952-03,35369,15,0,12,1,848,1742,184,30,1328,3,5,0,222,602,854,61,27,3,0,0,2,6,0,3,0,6,0,0,7,0,0,0,20,0,0,0,0
1952-04,28390,9,0,7,1,751,1385,200,27,1004,1,7,0,215,497,722,36,12,0,0,0,1,9,0,2,0,6,0,0,5,0,0,0,14,0,0,0,0
1952-05,35792,17,0,10,2,896,1792,284,35,1175,0,12,0,218,683,832,55,14,3,0,0,0,3,0,6,0,3,0,0,11,0,2,0,24,0,0,0,0
1952-06,31649,16,0,8,2,743,1536,208,32,1063,2,5,0,205,595,739,44,18,1,0,0,0,2,0,3,0,2,0,0,4,0,1,0,22,0,0,0,0
1952-07,33436,7,0,4,3,738,1456,214,41,1074,1,10,0,248,657,804,62,21,2,0,0,1,1,0,3,0,2,0,0,6,2,2,0,25,0,0,0,0
1952-08,33800,18,0,16,2,899,1477,235,31,1185,0,4,0,181,653,789,45,21,2,0,0,1,3,1,5,0,11,0,0,9,0,3,0,47,0,0,0,0
1952-09,32128,8,0,5,0,691,1486,199,31,1241,1,9,0,189,603,691,36,19,2,0,0,0,1,0,4,0,2,0,0,8,0,0,0,34,0,0,0,0
1952-10,36293,14,0,9,4,841,1760,215,17,1274,0,10,0,224,686,760,48,12,6,0,0,0,0,0,5,0,6,0,0,10,1,0,1,31,0,0,0,0
1952-11,37302,15,0,10,5,893,1755,171,30,1265,0,6,0,215,604,782,57,18,4,0,1,1,4,0,0,0,8,0,0,6,0,1,1,28,0,0,0,0
1952-12,30849,9,0,5,2,692,1544,109,19,1099,1,9,0,153,508,623,33,24,6,0,0,0,0,0,2,0,3,0,0,2,2,0,0,15,0,0,0,0
1953-01,31221,7,0,3,6,725,1533,158,45,1051,1,16,0,180,565,820,49,18,2,0,0,1,2,0,4,0,10,1,0,7,1,1,0,27,0,0,0,0
1953-02,20390,4,0,3,3,486,1059,77,18,753,1,5,0,167,437,513,30,16,4,0,0,0,1,0,1,0,5,1,0,0,0,2,2,12,0,0,0,0
1953-03,25133,4,0,2,1,513,1258,92,23,884,0,8,0,179,453,581,39,17,3,0,0,1,0,0,1,0,1,1,0,0,0,1,0,6,0,0,0,0
1953-04,31359,3,0,3,2,664,1627,100,27,1253,0,7,0,264,598,667,39,19,10,0,0,0,0,0,3,0,14,0,0,6,2,0,0,20,0,0,0,0
1953-05,30603,7,0,4,1,604,1600,125,40,1168,4,17,0,208,501,711,53,20,1,0,0,1,1,0,2,0,25,1,0,2,2,1,0,13,0,0,0,0
1953-06,32936,8,0,7,3,694,1682,146,40,1277,8,9,0,226,656,746,52,31,5,0,1,1,1,0,6,0,12,0,0,8,0,1,0,18,0,0,0,0
1953-07,26475,5,0,5,1,564,1370,142,33,1006,4,13,0,197,543,666,40,18,4,0,0,1,0,0,2,0,15,1,0,2,0,1,0,17,0,0,0,0
1953-08,29843,10,0,7,1,639,1535,156,23,1026,1,4,0,180,576,656,41,32,2,0,0,0,1,0,5,0,9,0,0,4,1,0,0,20,0,0,0,0
1953-09,33802,2,0,2,2,736,1642,129,36,1188,1,23,0,247,643,681,71,25,3,0,1,2,3,0,1,0,19,0,0,4,0,0,0,25,0,0,0,0
1953-10,33814,0,0,0,0,772,1840,100,37,1201,0,14,0,258,695,632,47,10,6,0,1,0,0,0,3,0,17,0,0,5,1,0,0,24,0,0,0,0
1953-11,33810,3,0,3,2,722,1723,96,23,1131,0,17,0,241,691,633,51,17,4,0,0,1,0,0,3,0,20,0,0,4,0,0,0,14,0,0,0,0
1953-12,28946,2,0,2,2,608,1571,87,23,1078,1,36,0,225,478,688,51,23,1,0,0,1,0,1,0,0,7,0,0,8,2,1,0,20,0,0,0,0
1954-01,20685,9,0,5,2,442,1212,58,41,803,0,53,0,201,429,575,42,8,9,0,4,0,0,0,1,0,14,1,0,7,0,0,0,21,0,0,0,0
1954-02,5889,2,0,1,0,85,254,10,3,186,0,13,0,42,82,143,12,2,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,3,0,0,0,0
1954-03,8894,2,0,0,0,150,390,27,5,247,0,5,0,55,166,192,18,2,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0
1954-04,24950,3,0,2,1,450,1291,72,36,797,2,16,0,148,399,503,53,10,0,0,0,0,0,0,0,0,8,0,0,6,0,1,0,9,0,0,0,0
1954-05,35173,1,0,1,1,713,1944,92,29,1039,2,27,0,202,563,641,44,17,3,0,0,0,0,0,3,0,5,1,0,2,1,0,0,11,0,0,0,0
1954-06,17375,0,0,0,1,370,906,50,12,486,0,15,0,83,258,336,31,10,2,0,0,1,1,0,0,0,4,0,0,3,1,0,0,3,0,0,0,0
1954-07,10432,0,0,0,0,188,430,37,15,304,0,7,0,55,192,258,14,3,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0
